CASE,WORK,SENT-ADDR,TOK-ADDR,LEM,TYPEA,TYPEB,SENTLEN,WORKLEN
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|74,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|74|5,volo,main,main,3,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|75,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|75|3,propero,main,main,18,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|76,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|76|2,sum,main,main,7,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|77,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|77|4,soleo,main,main,6,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|78,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|78|15,do,main,main,14,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|79,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|79|8,relinquo,main,main,8,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|79,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|79|11,relinquo,main,main,8,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|80,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|80|4,alligo,main,main,6,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|81,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,ubi,temporal,hypo,41,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|81,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,ubi,temporal,hypo,41,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|81,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,41,4393
